nom sede IPS,nit IPS ,naturaleza,num digito_verificion,num nivel atencion,nom grupo capacidad ,nom descripcion capacidad ,num cantidad capacidad instalada
CLINICA VIVE,900450008,Privada,3,,CAMAS,Psiquiatría,44
CAMPONUEVO CISNE 2,830100595,Privada,0,,CAMAS,Psiquiatría,15
COVEN,900280825,Privada,4,,CAMAS,Adultos,12
GASTROCAL SAS,900690781,Privada,8,,SALAS,Procedimientos,2
DACARE IPS,900883992,Privada,4,,CAMAS,Adultos,2
CLÍNICA LAS AMERICAS,800067065,Privada,9,,SALAS,Partos,1
PMA MARLY,830014121,Privada,5,,SALAS,Quirófano,1
OPTICAS HORUS,900611076,Privada,6,,SALAS,Procedimientos,1
FUNDACION HOSPITAL DE LA MISERICORDIA,899999123,Privada,7,,CAMAS,Pediátrica,310
IPS UNIVERSITARIA SEDE CLINICA LEON XIII,811016192,Mixta,8,,CAMAS,Adultos,553
HOSPITAL UNIVERSITARIO MAYOR-MEDERI,900210981,Privada,6,,CAMAS,Adultos,452
E.S.E. HOSPITAL MENTAL DE ANTIOQUIA,890905166,Pública,8,2,CAMAS,Psiquiatría,450
FUNDACION HOSPITALARIA SAN VICENTE DE PAUL,890900518,Privada,4,,CAMAS,Adultos,334
HOSPITAL MILITAR CENTRAL,830040256,Pública,0,3,CAMAS,Adultos,294
FUNDACION HOSPITAL SAN CARLOS,860007373,Privada,4,,CAMAS,Adultos,290
ORGANIZACIÓN CLINICA GENERAL DEL NORTE S.A,890102768,Privada,5,,CAMAS,Adultos,279
CLINICA DE NUESTRA SEÑORA DE LA PAZ,860015905,Privada,6,,CAMAS,Psiquiatría,273
HOSPITAL PABLO TOBON URIBE,890901826,Privada,2,,CAMAS,Adultos,262
CENTRO MEDICO IMBANACO DE CALI SEDE 16,890307200,Privada,5,,CAMAS,Adultos,254
EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DEL CARIBE,900042103,Pública,5,3,CAMAS,Adultos,235
HOSPITAL CENTRAL POLICIA NACIONAL,830041314,Pública,4,3,CAMAS,Adultos,232
E.S.E HOSPITAL UNIVERSITARIO ERASMO MEOZ,800014918,Pública,9,3,CAMAS,Adultos,231
FUNDACION OFTALMOLOGICA DE SDER FOSCAL,890205361,Privada,4,,CAMAS,Adultos,225
"HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",890904646,Pública,7,3,CAMAS,Adultos,224
E.S.E. HOSPITAL DEPARTAMENTAL PSIQUIATRICO UNIVERSITARIO DEL VALLE,890304155,Pública,8,2,CAMAS,Psiquiatría,224
LOS COMUNEROS HOSPITAL UNIVERSITARIO DE BUCARAMANGA,900240018,Privada,6,,CAMAS,Adultos,217
FUNDACION SANTA FE DE BOGOTA,860037950,Privada,2,,CAMAS,Adultos,216
EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DEL QUINDIO SAN JUAN DE DIOS,800000118,Pública,2,3,CAMAS,Adultos,212
ORGANIZACION CLINICA BONNADONA PREVENIR S.A.S.,800194798,Privada,2,,CAMAS,Adultos,197
FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA,860035992,Privada,2,,CAMAS,Adultos,196
FUNDACION VALLE DEL LILI,890324177,Privada,5,,CAMAS,Adultos,196
HOSPITAL UNIVERSITARIO SAN IGNACIO,860015536,Privada,1,,CAMAS,Adultos,195
CLÍNICA LAS AMERICAS,800067065,Privada,9,,CAMAS,Adultos,191
CLINICA COLOMBIA ES,900242742,Privada,1,,CAMAS,Adultos,190
E.S.E. HOSPITAL UNIVERSITARIO HERNANDO MONCALEANO PERDOMO DE NEIVA,891180268,Pública,0,3,CAMAS,Adultos,189
HOSPITAL UNIVERSITARIO DE SANTANDER,900006037,Pública,4,3,CAMAS,Adultos,188
CORPORACIÓN PARA ESTUDIOS EN SALUD CLINICA CES,890982608,Privada,1,,CAMAS,Adultos,187
CLINICA LOS ROSALES S.A,891409981,Privada,0,,CAMAS,Adultos,187
EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO SAN JORGE,800231235,Pública,7,3,CAMAS,Adultos,186
CLINICA INFANTIL COLSUBSIDIO,860007336,Privada,1,,CAMAS,Pediátrica,185
FUNDACION ABOOD SHAIO,860006656,Privada,9,,CAMAS,Adultos,184
CLÍNICA AVIDANTI MANIZALES,800185449,Privada,9,,CAMAS,Adultos,184
CLINICA UNIVERSITARIA COLOMBIA,800149384,Privada,6,,CAMAS,Adultos,179
REMY IPS - TOBERIN II,900589178,Privada,5,,CAMAS,Salud Mental,177
CLINICA MEDICAL DUARTE,900470642,Privada,9,,CAMAS,Adultos,174
FUNDACION FOSUNAB,900330752,Privada,0,,CAMAS,Adultos,173
HOSPITAL SAN RAFAEL DE PASTO,891200274,Privada,2,,CAMAS,Psiquiatría,163
CLINICA DESA S.A.S,900771349,Privada,7,,CAMAS,Adultos,162
Clínica El Bosque,805027743,Privada,1,,CAMAS,Adultos,160
COMPAÑÍA COLOMBIANA DE SALUD COLSALUD S.A.,819002176,Privada,8,,CAMAS,Adultos,160
EMPRESA SOCIAL DEL ESTADO HOSPITAL MARCO FIDEL SUAREZ,890985703,Pública,5,2,CAMAS,Adultos,159
E.S.E. HOSPITAL MANUEL URIBE ANGEL,890906347,Pública,9,3,CAMAS,Adultos,159
Unidad de Servicios de Salud Occidente de Kennedy,900959048,Pública,4,3,CAMAS,Adultos,158
HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,900578105,Privada,0,,CAMAS,Adultos,156
ESE HOSPITAL PSIQUIÁTRICO SAN CAMILO,890200500,Pública,9,2,CAMAS,Cuidado Agudo Mental,156
CLINICA PARTENON,800085486,Privada,2,,CAMAS,Adultos,155
CLINICA PSIQUIATRICA SAN JUAN DE DIOS,890801495,Privada,9,,CAMAS,Psiquiatría,154
FUNDACION HOGAR REENCONTRARSE,900131892,Privada,1,,CAMAS,Psiquiatría,152
Sociedad de Cirugía de Bogotá - Hospital de San José,899999017,Privada,4,,CAMAS,Adultos,152
ESE HOSPITAL SAN JERONIMO DE MONTERIA,891079999,Pública,5,2,CAMAS,Adultos,152
CLINICA MARIANGEL DUMIAN MEDICAL,805027743,Privada,1,,CAMAS,Adultos,152
HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,9,,CAMAS,Adultos,149
EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,899999032,Pública,5,3,CAMAS,Adultos,149
AMPARO DE ANCIANOS SAN JOSE,800020591,Privada,9,,CAMAS,Adultos,148
E.S.E. HOSPITAL UNIVERSITARIO DEL VALLE EVARISTO GARCIA EMPRESA SOCIAL DEL ESTADO,890303461,Pública,2,3,CAMAS,Adultos,147
CLINICA MEDICO QUIRURGICA S.A. SEDE 1,800176890,Privada,6,,CAMAS,Adultos,146
CLINICA MEDILASER S.A.,813001952,Privada,0,,CAMAS,Adultos,142
INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS,800044402,Privada,9,,CAMAS,Adultos,141
CLINICA NUESTRA SEÑORA DE LOS REMEDIOS,890301430,Privada,5,,CAMAS,Adultos,141
UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,900959051,Pública,7,3,CAMAS,Adultos,139
HNAS. HOSPITALARIAS DEL SAGDO. CORAZON DE JESUS HOSPITAL MENTAL NUESTRA SRA. DEL PERPETUO SOCORRO,860007760,Privada,1,,CAMAS,Cuidado Agudo Mental,139
HOSPITAL UNIVERSITARIO SAN JOSE DE POPAYAN EMPRESA SOCIAL DEL ESTADO,891580002,Pública,5,3,CAMAS,Adultos,137
CLINICA REINA CATALINA S.A.S.,800179966,Privada,0,,CAMAS,Adultos,136
HOSPITAL DE YOPAL ESE,891855029,Pública,5,2,CAMAS,Adultos,136
CLINICA DE OCCIDENTE,890300513,Privada,3,,CAMAS,Adultos,136
SOCIEDAD MÉDICA RIONEGRO S.A. SOMER S.A.,890939936,Privada,9,,CAMAS,Adultos,135
CLINICA LA INMACULADA,860007760,Privada,1,,CAMAS,Psiquiatría,135
REMY IPS- SAN LUCAS,900589178,Privada,5,,CAMAS,Psiquiatría,135
CLINICA MEDELLIN OCCIDENTE,890911816,Privada,1,,CAMAS,Adultos,134
HOSPITAL CARDIOVASCULAR DEL NIÑO DE CUNDINAMARCA,800210375,Privada,1,,CAMAS,Adultos,134
HOSPITAL DEPARTAMENTAL DE VILLAVICENCIO ESE,892000501,Pública,5,2,CAMAS,Adultos,134
HOSPITAL UNIVERSITARIO DEPARTAMENTAL DE NARIÑO,891200528,Pública,8,3,CAMAS,Adultos,130
CLINICA NUESTRA,805023423,Privada,1,,CAMAS,Adultos,130
