,nom_sede_ips,nit_ips,naturaleza,nivel_atencion,grupo_capacidad,descripcion_capacidad,capacidad
1,CAMPONUEVO CISNE 2,830100595,Privada,,CAMAS,Psiquiatría,15.0
6,PMA MARLY,830014121,Privada,,SALAS,Quirófano,1.0
8,FUNDACION HOSPITAL DE LA MISERICORDIA,899999123,Privada,,CAMAS,Pediátrica,310.0
10,HOSPITAL UNIVERSITARIO MAYOR-MEDERI,900210981,Privada,,CAMAS,Adultos,452.0
13,HOSPITAL MILITAR CENTRAL,830040256,Pública,3.0,CAMAS,Adultos,294.0
14,FUNDACION HOSPITAL SAN CARLOS,860007373,Privada,,CAMAS,Adultos,290.0
16,CLINICA DE NUESTRA SEÑORA DE LA PAZ,860015905,Privada,,CAMAS,Psiquiatría,273.0
20,HOSPITAL CENTRAL POLICIA NACIONAL,830041314,Pública,3.0,CAMAS,Adultos,232.0
26,FUNDACION SANTA FE DE BOGOTA,860037950,Privada,,CAMAS,Adultos,216.0
29,FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA,860035992,Privada,,CAMAS,Adultos,196.0
31,HOSPITAL UNIVERSITARIO SAN IGNACIO,860015536,Privada,,CAMAS,Adultos,195.0
39,CLINICA INFANTIL COLSUBSIDIO,860007336,Privada,,CAMAS,Pediátrica,185.0
40,FUNDACION ABOOD SHAIO,860006656,Privada,,CAMAS,Adultos,184.0
42,CLINICA UNIVERSITARIA COLOMBIA,800149384,Privada,,CAMAS,Adultos,179.0
43,REMY IPS - TOBERIN II,900589178,Privada,,CAMAS,Salud Mental,177.0
52,Unidad de Servicios de Salud Occidente de Kennedy,900959048,Pública,3.0,CAMAS,Adultos,158.0
53,HOSPITAL UNIVERSITARIO NACIONAL DE COLOMBIA,900578105,Privada,,CAMAS,Adultos,156.0
55,CLINICA PARTENON,800085486,Privada,,CAMAS,Adultos,155.0
58,Sociedad de Cirugía de Bogotá - Hospital de San José,899999017,Privada,,CAMAS,Adultos,152.0
61,HOSPITAL UNIVERSITARIO CLINICA SAN RAFAEL,860015888,Privada,,CAMAS,Adultos,149.0
62,EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO DE LA SAMARITANA,899999032,Pública,3.0,CAMAS,Adultos,149.0
69,UNIDAD DE SERVICIOS DE SALUD SANTA CLARA,900959051,Pública,3.0,CAMAS,Adultos,139.0
