,direccion,clase_de_prestador,nit_ips,codigo_de_habilitacion,id_ips,nombre_ips,longitud_ips,latitud_ips,capacidad
0,AC 33 # 14 37,Instituciones - IPS,830099212,110010905601,4,CENTRO DE INVESTIGACIONES ONCOLOGICAS CLINICA SAN DIEGO CIOSAD S.A.S,-74.06983839615465,4.621247510792445,61.0
1,AC 13 N 65 -21,Instituciones - IPS,800149384,110010918632,9,CLINISANITAS DIAGNOSTICO ZONA IN,-74.11605885371635,4.63426464165194,179.0
2,AC 145 No. 88-76,Instituciones - IPS,800149384,110010918603,630,CLINISANITAS SUBA,-74.08353828993906,4.737664289640285,179.0
3,TRV 59 A 114 - 18 PISO 3,Instituciones - IPS,800149384,110010918614,637,LABORATORIO CLINICO SANITAS SALUD OCUPACIONAL,-74.06840229005266,4.696659679755972,179.0
4,KR 7 32 - 12 LOCAL 304,Instituciones - IPS,800149384,110010918623,748,ODONTOSANITAS SAN MARTIN,-74.06770965034106,4.618808579763447,179.0
5,AK 14 42-66,Instituciones - IPS,800149384,110010918628,785,LABORATORIO TEUSAQUILLO,-74.0677070200739,4.630604669767957,179.0
6,CALLE 16 # 6 -66 PISO 2,Instituciones - IPS,800149384,110010918635,982,CLINISANITAS CENTRO MEDICO EMPRESARIAL,-74.07227174001989,4.602637450372857,179.0
7,AC 26 SUR 68 I - 12 PISO 2,Instituciones - IPS,800149384,110010918639,1055,LABORATORIO UAP KENNEDY,-74.13319318020677,4.612184159818336,179.0
8,AV 127 No. 20-78 LC 206 y 207,Instituciones - IPS,800149384,110010918643,1370,CLINISANITAS CENTRO DE ATENCIÓN INTEGRAL PARA LA MUJER,-74.05136808978381,4.706529620258821,179.0
9,AC 134 7B 83 LC 6,Instituciones - IPS,800149384,110010918647,2077,CLINISANITAS DIAGNOSTICO EL BOSQUE,-74.03207532995624,4.711859999597484,179.0
10,CR 21 NO. 166 34 P 2,Instituciones - IPS,800149384,110010918648,2078,LABORATORIO TOBERIN,-74.04415845026533,4.746944489873148,179.0
11,AC 13 NO. 65 21 LC 29,Instituciones - IPS,800149384,110010918649,2237,ODONTOSANITAS ZONA INDUSTRIAL,-74.1160588501231,4.63426463986116,179.0
12,CRA 59 NO. 152 19,Instituciones - IPS,800149384,110010918651,2548,CLINISANITAS COLINA CAMPESTRE,-74.06507047998636,4.73810108988188,179.0
13,"CALLE 14 No 62 - 04, Interior 1, Interior 2",Instituciones - IPS,800149384,110010918654,2764,CENTRAL DE URGENCIAS CLINICA COLSANITAS,-74.1125337603369,4.634456449598916,179.0
14,"CR 18 # 16 - 46 Sur, PISO 3 y PISO 4",Instituciones - IPS,800149384,110010918656,2821,CLINISANITAS DIAGNOSTICO RESTREPO,-74.10022842018273,4.585568210319045,179.0
15,CALLE 77 # 12 A 11,Instituciones - IPS,800149384,110010918602,629,Odontosanitas El Lago,-74.0573434503901,4.662365410334054,179.0
16,"CR. 21 NO. 127 - 03 / AC 127 21 - 60 CN 106, 107, 108, 109, 110 LC 107, 108, 109, 111",Instituciones - IPS,800149384,110010918608,634,CLINICA REINA SOFIA,-74.05188481959985,4.706862759756376,179.0
17,AK 7 124 - 45 PISO 1,Instituciones - IPS,800149384,110010918610,635,LABORATORIO UAP USAQUEN,-74.0291232700999,4.700167239786761,179.0
18,CL 36 # 28 50 / 28 42,Instituciones - IPS,800149384,110010918611,636,CLINISANITAS LA SOLEDAD,-74.07756877017871,4.625704119962588,179.0
19,TV 60 # 115 - 58 TO B OF 304 A LA 317 y TO C LC 103 Y 104,Instituciones - IPS,800149384,110010918624,757,CLINISANITAS ILARCO,-74.06931673009612,4.699264549688073,179.0
20,Carrera 89a # 79 - 03 4° piso,Instituciones - IPS,800149384,110010918634,973,CLINISANITAS CALLE 80,-74.10347350958645,4.704416729973929,179.0
21,CL 75 # 22 66 PI 2,Instituciones - IPS,800149384,110010918636,1023,LABORATORIO UAP URILAR HEROES,-74.06440680016287,4.665228920129933,179.0
22,AC 127 No 20-51 PISOS 2 y 3,Instituciones - IPS,800149384,110010918641,1227,PROGRAMA DE HOSPITALIZACION DOMICILIARIA,-74.05115732974677,4.706006770233981,179.0
23,CARRERA 45 NO 103 65,Instituciones - IPS,800149384,110010918653,2735,CLINICA COLSANITAS 103,-74.05705118980062,4.690372430213911,179.0
24,KR 70 C #115 A 15,Instituciones - IPS,800149384,110010918604,631,CLINISANITAS MORATO,-74.07204376017717,4.698928079636221,179.0
25,AK 45 No. 108 a 50 PISO 3,Instituciones - IPS,800149384,110010918605,632,CLINISANITAS DIAGNOSTICO,-74.05506955030131,4.69605412976604,179.0
26,CRA 21 # 40 77,Instituciones - IPS,800149384,110010918606,633,ODONTOSANITAS,-74.07390677983817,4.631173989923602,179.0
27,KR 69 C # 99 - 45,Instituciones - IPS,800149384,110010918622,726,LABORATORIO CENTRAL DE REFERENCIA,-74.0748067004117,4.6934888596284665,179.0
28,AVENIDA CALLE 127 No 20-78 CONSULTORIOS 201-202-203 Y 204,Instituciones - IPS,800149384,110010918629,813,UNIDAD RENAL SANITAS,-74.03210385955136,4.712466790126343,179.0
29,"CL 23 No. 66 - 46 Int. 5, Int.4. Piso 3 CN 201, 202, 203, 204, 205, 206, 208, 511, 512, 513, 514, 704, 708, 712, 719, 720, 721, 722, 723, 725, 727, 814, 911, 920, 921, 927, 1009, 1013, 1214, 301, 305, 320, 919 UN 103",Instituciones - IPS,800149384,110010918630,901,CLINICA UNIVERSITARIA COLOMBIA,-74.10640329032543,4.64804106970914,179.0
30,Carrera 24 C No 48-94 Sur Piso 3 Centro Comercial Ciudad Tunal,Instituciones - IPS,800149384,110010918637,1024,UAP PREMISALUD,-74.13032355964238,4.577896759815052,179.0
31,KR 14 96 -22,Instituciones - IPS,800149384,110010918646,1430,CLINISANITAS CALLE 96,-74.04844703977108,4.681261290353163,179.0
32,AK 45 NO. 123 14 P 2,Instituciones - IPS,800149384,110010918650,2290,LABORATORIO UAP SANTA BARBARA,-74.05365313976192,4.704355659628111,179.0
33,AC 127 20 56,Instituciones - IPS,800149384,110010918655,2816,CLINICA PEDIATRICA,-74.05085663038352,4.706675739904666,179.0
34,KR 13 B # 161-85,Instituciones - IPS,860035992,110010911103,19,FUNDACIÓN CARDIOINFANTIL-INSTITUTO DE CARDIOLOGÍA,-74.03440921504814,4.740787460221625,196.0
35,CL 163 A # 13 B 60,Instituciones - IPS,860035992,110010911101,614,FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA,-74.03449838002663,4.741346699750187,196.0
36,CRA 4 D # 192 A -35,Instituciones - IPS,900971006,110013029128,80,UNIDAD DE SERVICIOS DE SALUD BUENA VISTA,-74.02550148835147,4.768695043342347,125.0
37,TRANSVERSAL 100 A # 80 A - 50,Instituciones - IPS,900971006,110013029103,2860,UNIDAD DE SERVICIOS DE SALUD ENGATIVÁ CALLE 80,-74.1093294499555,4.711280709753267,125.0
38,CARRERA 107 # 75 B - 08,Instituciones - IPS,900971006,110013029108,2864,UNIDAD DE SERVICIOS DE SALUD GARCES NAVAS,-74.12059418976939,4.710457109777766,125.0
39,CARRERA 73 A # 81 B -10,Instituciones - IPS,900971006,110013029111,2865,UNIDAD DE SERVICIOS DE SALUD MINUTO DE DIOS,-74.08986014961505,4.698448820374076,125.0
40,CARRERA 97 A # 65 - 63,Instituciones - IPS,900971006,110013029112,2866,UNIDAD DE SERVICIOS DE SALUD ALAMOS,-74.1206427796431,4.695528819652537,125.0
41,CARRERA 92 Nº 147C-30,Instituciones - IPS,900971006,110013029115,2869,UNIDAD DE SERVICIOS DE SALUD SUBA,-74.08414343014873,4.7435831699078355,125.0
42,TRANSVERSAL 116C Nº133-18,Instituciones - IPS,900971006,110013029116,2870,UNIDAD DE SERVICIOS DE SALUD GAITANA I,-74.11028343024452,4.740901640268511,125.0
43,CALLE 144 141A - 50 IN 67,Instituciones - IPS,900971006,110013029120,2874,UNIDAD DE SERVICIOS DE SALUD SAN CARLOS,-74.11434564968856,4.752318150344692,125.0
44,CRA 1 BIS # 163-10,Instituciones - IPS,900971006,110013029127,2878,UNIDAD DE SERVICIOS DE SALUD SANTA CECILIA,-74.01669072041666,4.734518010183467,125.0
45,CRA 6 # 180C-14,Instituciones - IPS,900971006,110013029129,2879,UNIDAD DE SERVICIOS DE SALUD CODITO,-74.0240748702555,4.757494020156799,125.0
46,CALLE 164 # 7F-10,Instituciones - IPS,900971006,110013029130,2880,UNIDAD DE SERVICIOS DE SALUD SAN CRISTÓBAL,-74.02512905042794,4.739944509714474,125.0
47,CRA 6 A # 119B-14,Instituciones - IPS,900971006,110013029133,2883,UNIDAD DE SERVICIOS DE SALUD USAQUÉN,-74.03049903995752,4.696348669863934,125.0
48,CALLE 88 # 95 F - 00,Instituciones - IPS,900971006,110013029107,2886,UNIDAD DE SERVICIOS DE SALUD BACHUÉ,-74.10338728030231,4.716026869630921,125.0
49,CALLE 75 # 69 H - 08,Instituciones - IPS,900971006,110013029105,2862,UNIDAD DE SERVICIOS DE SALUD FERIAS,-74.08623682995086,4.685978129896145,125.0
50,CALLE 83 # 85 A - 17,Instituciones - IPS,900971006,110013029113,2867,UNIDAD DE SERVICIOS DE SALUD ESPAÑOLA,-74.09908165963711,4.7045002702733605,125.0
51,KR 104 Nº 152C-50,Instituciones - IPS,900971006,110013029114,2868,UNIDAD DE SERVICIOS DE SALUD CENTRO DE SERVICIOS ESPECIALIZADO,-74.09175639975504,4.7534265201695955,125.0
52,CARRERA 94B Nº129B-04,Instituciones - IPS,900971006,110013029118,2872,UNIDAD DE SERVICIOS DE SALUD RINCON,-74.0931433796891,4.726053680375908,125.0
53,TRANSVERSAL 126 Nº133-38,Instituciones - IPS,900971006,110013029119,2873,UNIDAD DE SERVICIOS DE SALUD GAITANA II,-74.10962048973452,4.7414448504125675,125.0
54,CRA 18 A # 187-91,Instituciones - IPS,900971006,110013029132,2882,UNIDAD DE SERVICIOS DE SALUD VERBENAL,-74.03966663040129,4.766052850266702,125.0
55,CALLE 165 # 7 06,Instituciones - IPS,900971006,110013029101,2858,UNIDAD DE SERVICIOS DE SALUD SIMÓN BOLÍVAR,-74.02305253985145,4.7421762396392495,125.0
56,CARRERA 65 # 103 66,Instituciones - IPS,900971006,110013029102,2859,UNIDAD DE SERVICIOS DE SALUD FRAY BARTOLOMÉ DE LAS CASAS,-74.06764683025492,4.692863620052391,125.0
57,CALLE 64 C # 121 - 76,Instituciones - IPS,900971006,110013029104,2861,UNIDAD DE SERVICIOS DE SALUD EMAUS,-74.14043568997982,4.715299659688566,125.0
58,CARRERA 74 A # 69 A - 38,Instituciones - IPS,900971006,110013029106,2863,UNIDAD DE SERVICIOS DE SALUD BOYACÁ REAL,-74.09932952009535,4.68608898032902,125.0
59,CALLE 128A Nº53A-17,Instituciones - IPS,900971006,110013029117,2871,UNIDAD DE SERVICIOS DE SALUD PRADO VERANIEGO,-74.06071820980844,4.713666610082459,125.0
60,CALLE 136A Nº153A-21,Instituciones - IPS,900971006,110013029121,2875,UNIDAD DE SERVICIOS DE SALUD J.B SCALABRINI,-74.12488178034853,4.743764340163755,125.0
61,Calle 66 No 15-41,Instituciones - IPS,900971006,110013029123,2876,UNIDAD DE SERVICIOS DE SALUD CHAPINERO,-74.06567518002156,4.653525510411811,125.0
62,CALLE 165 # 7-38,Instituciones - IPS,900971006,110013029126,2877,UNIDAD DE SERVICIOS DE SALUD SERVITÁ,-74.02314927044125,4.741538880266705,125.0
63,CRA 16C # 160-44,Instituciones - IPS,900971006,110013029131,2881,UNIDAD DE SERVICIOS DE SALUD ORQUÍDEAS,-74.03994305009904,4.739559849624899,125.0
64,CALLE 91 # 89 A -20,Instituciones - IPS,900971006,110013029109,2884,UNIDAD DE SERVICIOS DE SALUD QUIRIGUA,-74.09575194983196,4.713338509779946,125.0
65,CARRERA 69 # 68 A - 34,Instituciones - IPS,900971006,110013029110,2885,UNIDAD DE SERVICIOS DE SALUD BELLAVISTA,-74.09059994998077,4.677768669655824,125.0
66,AV 100 No. 18 A 51,Instituciones - IPS,860006626,110010144301,235,CLINICA BARRAQUER,-74.0512058199075,4.685798220390471,10.0
67,Avenida Calle 6 No. 49 - 21,Instituciones - IPS,800215908,110010485704,344,CAFI PUENTE ARANDA,-74.10705640955443,4.625279430426861,116.0
68,AK 45 # 137 48,Instituciones - IPS,800215908,110010485717,832,CAFI CALLE 138,-74.05054292970314,4.723114389822485,116.0
69,CL 106 # 19 19,Instituciones - IPS,800215908,110010485718,833,CEMES 106,-74.05123203005255,4.692604020412252,116.0
70,AUTOPISTA NORTE # 104 A - 33,Instituciones - IPS,800215908,110010485721,2691,CLINICA ESIMED JORGE PIÑEROS CORPAS,-74.05671724019543,4.69237239983357,116.0
71,DIAGONAL 115 A # 70 D - 68,Instituciones - IPS,800215908,110010485722,2693,CEMES MORATO,-74.07463085968641,4.698265680270244,116.0
72,AUTOPISTA NORTE NO.103B-03,Instituciones - IPS,800215908,110010485725,2697,UNIDAD DE DIAGNOSTICO AUTOPISTA NORTE ESIMED,-74.05697802022411,4.690799410027048,116.0
73,CALLE 5 # 30 - 18,Instituciones - IPS,800215908,110010485731,2698,CLINICA ESIMED VERAGUAS,-74.09933416977528,4.6054102799171,116.0
74,"AC 127 # 16A-27: PISO 1 SECTOR ORIENTAL Y SECTOR OCCIDENTAL- PISO 2 SECTOR SURORIENTAL Y SECTOR SUROCCIDENTAL- PISO 3- PISO 4 CS 401, 402, 405A, 405B Y 421)- PISO 5 SECTOR ORIENTAL- PISO 6 SECTOR ORIENTAL Y PISO 7.",Instituciones - IPS,800215908,110010485730,2701,CLINICA ESIMED SANTA BIBIANA,-74.0448741398488,4.703991669942181,116.0
75,Carrera 7 # 55-37,Instituciones - IPS,800215908,110010485711,347,CAFI CALLE 56,-74.06251290001568,4.641908290390032,116.0
76,CALLE 100 NO. 19-05,Instituciones - IPS,800215908,110010485719,2690,CENTRAL DE URGENCIAS Y ESPECIALISTAS CALLE 100 ESIMED,-74.0524161497342,4.685508019901715,116.0
77,CARRERA 17 # 24 - 44,Instituciones - IPS,800215908,110010485727,2695,CLINICA ESIMED CENTRO,-74.07483359956457,4.613901830089392,116.0
78,AUTONORTE NO.94-31,Instituciones - IPS,800215908,110010485728,2700,UNIDAD INTEGRAL DE ALTO RIESGO OBSTETRICO ESIMED,-74.05837009001256,4.6823865796123005,116.0
79,KR 89 A No.77A - 50,Instituciones - IPS,800215908,110010485703,343,CAFI CALLE 80,-74.10363502038633,4.7037669898518235,116.0
80,KR 18 No.15 - 30 SUR,Instituciones - IPS,800215908,110010485708,345,CAFI RESTREPO,-74.0996038404303,4.586582920211044,116.0
81,CL 26 SUR 78 07,Instituciones - IPS,800215908,110010485709,346,CAFI KENNEDY,-74.14727246038342,4.6246878998439716,116.0
82,AVENIDA 19 No. 106 -30,Instituciones - IPS,800215908,110010485714,348,CAFI CALLE 106,-74.05054040992879,4.692943749734161,116.0
83,CARRERA 10 # 1C - 07 SUR,Instituciones - IPS,800215908,110010485724,2689,CLINICA ESIMED POLICARPA,-74.08665750021864,4.587326639741046,116.0
84,AUTOPISTA NORTE # 103 B - 95,Instituciones - IPS,800215908,110010485720,2692,CAP CENTRO DE ATENCIÓN PRIORITARIA ESIMED,-74.05689598966563,4.6913080504216085,116.0
