,direccion,clase_de_prestador,nit_ips,codigo_de_habilitacion,id_ips,nombre_ips,longitud_ips,latitud_ips
1,AC 33 # 14 37,Instituciones - IPS,830099212,110010905601,4,CENTRO DE INVESTIGACIONES ONCOLOGICAS CLINICA SAN DIEGO CIOSAD S.A.S,-74.06983839615465,4.621247510792445
2,AC 13 N 65 -21,Instituciones - IPS,800149384,110010918632,9,CLINISANITAS DIAGNOSTICO ZONA IN,-74.11605885371635,4.63426464165194
3,CL 63 N 22-22,Instituciones - IPS,900116722,110011709301,10,MISION SALUD INTERNACIONAL SAS CALLE 63,-74.07138337537415,4.651042894407683
5,KR 13 B # 161-85,Instituciones - IPS,860035992,110010911103,19,FUNDACIÓN CARDIOINFANTIL-INSTITUTO DE CARDIOLOGÍA,-74.03440921504814,4.740787460221625
9,Carrera 19 N 102-31,Instituciones - IPS,830018305,110010919912,38,JAVESALUD ALLIANZ,-74.05221320414184,4.688004719815471
10,CL 47 B SUR NO. 24B-33 L 1108 CC CIUDAD TUNAL,Instituciones - IPS,900407148,110012384551,43,Multiopticas,-74.1303235560491,4.577896764292308
21,CRA 4 D # 192 A -35,Instituciones - IPS,900971006,110013029128,80,UNIDAD DE SERVICIOS DE SALUD BUENA VISTA,-74.02550148835147,4.768695043342347
22,CALLE 55 BIS No. 15 A - 05,Instituciones - IPS,900211561,110011905301,84,UNIDAD DE CUIDADO INTERMEDIO SANTA LUCIA SAS,-74.06744479106268,4.64281439941825
24,CALLE 42C SUR # 78H-08,Instituciones - IPS,900900122,110012894203,93,HEALTH & LIFE IPS SAS SEDE KENNEDY,-74.1613173826954,4.615852496786914
26,CL 24 17 35,Instituciones - IPS,900413988,110012208203,99,IPS AMERICAS SAS,-74.07576769923803,4.614122507791356
34,Carrera 12#98-16,Instituciones - IPS,830027158,110011243704,124,RIESGO DE FRACTURA,-74.04584689313063,4.682075265224231
35,CR 65 No 11- 50 LC 2 - 61,Instituciones - IPS,860043998,110010735738,129,OPTICENTRO INTERNACIONAL PLAZA CENTRAL,-74.1152298955587,4.631964965790582
36,CL 127 A No. 7-19 LOCALES 101 y 102,Instituciones - IPS,830001007,110010403511,130,CENTRO DE DIAGNOSTICO ESPECIALIZADO BELLA SUIZA,-74.02898925223928,4.703202179069675
39,CALLE 25 G No 99 - 42,Instituciones - IPS,800223206,110012123806,149,BIENESTAR IPS SEDE FONTIBON,-74.12988836720972,4.686404234093812
40,CRA 43B No 62 A SUR - 22,Instituciones - IPS,800223206,110012123808,152,BIENESTAR IPS SEDE CIUDAD BOLIVAR,-74.15321955729596,4.572811633099243
41,CRA 77 No 65A - 35,Instituciones - IPS,800223206,110012123809,153,BIENESTAR IPS SEDE BOSA,-74.10446585871787,4.6837587198929
43,CRA 16 No. 59-54,Instituciones - IPS,830090073,110010315506,159,Sede Ambulatoria,-74.06724811301605,4.647156936896981
44,CARRERA 13 No. 32-44 SUR PISO 3 301,Instituciones - IPS,900532504,110012436905,160,UNIDAD RENAL DAVITA SAN CARLOS,-74.10828120135889,4.569346052325916
52,CLL 43 # 25 - 61,Instituciones - IPS,800241339,110010010301,180,INSTITUTO NACIONAL DEL RIÑON LTDA,-74.07680758002778,4.633059050242287
69,DG 40 A BIS # 14 79,Instituciones - IPS,830049044,110010128701,229,CLINICA MEDICO OFTALMOLOGICA DEL NIÑO Y DEL ADULTO S.A,-74.06909274955308,4.629100209683038
71,AV 100 No. 18 A 51,Instituciones - IPS,860006626,110010144301,235,CLINICA BARRAQUER,-74.0512058199075,4.685798220390471
78,KR 15 # 88-20 PISO 2,Instituciones - IPS,800229839,110010184701,255,INSTITUTO AMERICANO DE OFTALMOLOGIA,-74.05335178013691,4.673408050330962
