CLEARING_TEXTO,FCS_ESTACION_RUTABUS,TISC_PERFIL,Count
01/03/2020,(02000) Cabecera Autopista Norte,(002) Adulto Mayor,2158
01/03/2020,(02000) Cabecera Autopista Norte,(005) Discapacidad,547
01/03/2020,(02000) Cabecera Autopista Norte,(006) Apoyo Ciudadano,2450
01/03/2020,(02001) Centro Comercial Santa Fe,(002) Adulto Mayor,178
01/03/2020,(02001) Centro Comercial Santa Fe,(005) Discapacidad,27
01/03/2020,(02001) Centro Comercial Santa Fe,(006) Apoyo Ciudadano,167
01/03/2020,(02101) Toberín,(002) Adulto Mayor,383
01/03/2020,(02101) Toberín,(005) Discapacidad,69
01/03/2020,(02101) Toberín,(006) Apoyo Ciudadano,223
01/03/2020,(02102) Calle 161,(002) Adulto Mayor,99
01/03/2020,(02102) Calle 161,(005) Discapacidad,23
01/03/2020,(02102) Calle 161,(006) Apoyo Ciudadano,49
01/03/2020,(02103) Mazurén,(002) Adulto Mayor,110
01/03/2020,(02103) Mazurén,(005) Discapacidad,15
01/03/2020,(02103) Mazurén,(006) Apoyo Ciudadano,64
01/03/2020,(02104) Calle 146,(002) Adulto Mayor,369
01/03/2020,(02104) Calle 146,(005) Discapacidad,24
01/03/2020,(02104) Calle 146,(006) Apoyo Ciudadano,203
01/03/2020,(02105) Calle 142,(002) Adulto Mayor,233
01/03/2020,(02105) Calle 142,(005) Discapacidad,21
01/03/2020,(02105) Calle 142,(006) Apoyo Ciudadano,157
01/03/2020,(02200) Alcalá,(002) Adulto Mayor,448
01/03/2020,(02200) Alcalá,(005) Discapacidad,66
01/03/2020,(02200) Alcalá,(006) Apoyo Ciudadano,430
01/03/2020,(02201) Prado,(002) Adulto Mayor,274
01/03/2020,(02201) Prado,(005) Discapacidad,37
01/03/2020,(02201) Prado,(006) Apoyo Ciudadano,220
01/03/2020,(02202) Calle 127,(002) Adulto Mayor,307
01/03/2020,(02202) Calle 127,(005) Discapacidad,62
01/03/2020,(02202) Calle 127,(006) Apoyo Ciudadano,358
01/03/2020,(02204) Pepe Sierra,(002) Adulto Mayor,180
01/03/2020,(02204) Pepe Sierra,(005) Discapacidad,23
01/03/2020,(02204) Pepe Sierra,(006) Apoyo Ciudadano,195
01/03/2020,(02205) Calle 106,(002) Adulto Mayor,85
01/03/2020,(02205) Calle 106,(005) Discapacidad,13
01/03/2020,(02205) Calle 106,(006) Apoyo Ciudadano,112
01/03/2020,(02300) Calle 100,(002) Adulto Mayor,384
01/03/2020,(02300) Calle 100,(005) Discapacidad,90
01/03/2020,(02300) Calle 100,(006) Apoyo Ciudadano,473
01/03/2020,(02302) Virrey,(002) Adulto Mayor,91
01/03/2020,(02302) Virrey,(005) Discapacidad,14
01/03/2020,(02302) Virrey,(006) Apoyo Ciudadano,161
01/03/2020,(02303) Calle 85,(002) Adulto Mayor,156
01/03/2020,(02303) Calle 85,(005) Discapacidad,40
01/03/2020,(02303) Calle 85,(006) Apoyo Ciudadano,236
01/03/2020,(02304) Heroes,(002) Adulto Mayor,114
01/03/2020,(02304) Heroes,(005) Discapacidad,33
01/03/2020,(02304) Heroes,(006) Apoyo Ciudadano,229
01/03/2020,(02502) Terminal,(002) Adulto Mayor,162
01/03/2020,(02502) Terminal,(005) Discapacidad,38
